RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
ellender,nellie,ellen,helen|ellender|ellen|ellen,helen,nellie
ellie,elly|ellie|elly|elly
ellswood,elsey|ellswood|elsey|elsey
elminie,minnie|elminie|minnie|minnie
elmira,ellie,elly,mira|elmira|elly|ellie,elly,mira
elnora,nora|elnora|nora|nora
eloise,heloise,louise|eloise|louise|heloise,louise
elouise,louise|elouise|louise|louise
elsie,elsey|elsie|elsey|elsey
elswood,elsey|elswood|elsey|elsey
elvira,elvie|elvira|elvie|elvie
elwood,woody|elwood|woody|woody
elysia,lisa|elysia|lisa|lisa
elze,elsey|elze|elsey|elsey
emanuel,manuel,manny|emanuel|manny|manny,manuel
emeline,em,emmy,emma,milly,emily|emeline|emmy|em,emily,emma,emmy,milly
emil,emily|emil|emily|emily
emily,emmy,millie,emma,mel|emily|emmy|emma,emmy,mel,millie
emma,emmy|emma|emmy|emmy
epaphroditius,dite,ditus,eppa,dyche,dyce|epaphroditius|dite|dite,ditus,dyce,dyche,eppa
ephraim,eph|ephraim|eph|eph
erasmus,raze,rasmus|erasmus|raze|rasmus,raze
eric,rick,ricky|eric|rick|rick,ricky
ernest,ernie|ernest|ernie|ernie
ernestine,teeny,ernest,tina,erna|ernestine|tina|erna,ernest,teeny,tina
erwin,irwin|erwin|irwin|irwin
eseneth,senie|eseneth|senie|senie
essy,es|essy|es|es
estella,essy,stella|estella|stella|essy,stella
estelle,essy,stella|estelle|stella|essy,stella
esther,hester,essie|esther|essie|essie,hester
eudicy,dicey|eudicy|dicey|dicey
eudora,dora|eudora|dora|dora
eudoris,dossie,dosie|eudoris|dosie|dosie,dossie
eugene,gene|eugene|gene|gene
eunice,nicie|eunice|nicie|nicie
euphemia,effie,effy|euphemia|effie|effie,effy
eurydice,dicey|eurydice|dicey|dicey
eustacia,stacia,stacy|eustacia|stacy|stacia,stacy
eva,eve|eva|eve|eve
evaline,eva,lena,eve|evaline|eve|eva,eve,lena
evangeline,ev,evan,vangie|evangeline|ev|ev,evan,vangie
evelyn,evelina,ev,eve|evelyn|eve|ev,eve,evelina
experience,exie|experience|exie|exie
ezekiel,zeke,ez|ezekiel|zeke|ez,zeke
ezideen,ez|ezideen|ez|ez
ezra,ez|ezra|ez|ez
faith,fay|faith|fay|fay
felicia,fel,felix,feli|felicia|feli|fel,feli,felix
felicity,flick,tick|felicity|flick|flick,tick
feltie,felty|feltie|felty|felty
ferdinand,freddie,freddy,ferdie,fred|ferdinand|fred|ferdie,fred,freddie,freddy
ferdinando,nando,ferdie,fred|ferdinando|fred|ferdie,fred,nando
fidelia,delia|fidelia|delia|delia
flo,florence|flo|florence|florence
flora,florence|flora|florence|florence
florence,flossy,flora,flo|florence|flo|flo,flora,flossy
floyd,lloyd|floyd|lloyd|lloyd
fran,frannie|fran|frannie|frannie
